111792;Nutty Professor II: The Klumps (HD-DVD);Universal;19.98;PG-13;Comedy;07-24-2007
246036;Patrick Swayze Collection (Blu-Ray): Ghost (1990) / Point Break / Next Of Kin;Warner Brothers;19.98;VAR;VAR;06-04-2013
16588;Friends: The Complete 1st Season (Old Version);Warner Brothers;19.98;NR;TV Classics;04-30-2002
149462;Young Sherlock Holmes (DVD/CD Combo/ Checkpoint);Paramount;14.99;PG-13;Mystery/Suspense;02-03-2009
233671;Town (Blu-ray w/ Digital Copy);Warner Brothers;19.98;R;Action/Adventure;10-09-2012
112097;Shooter (Paramount/ Pan & Scan);Paramount;12.99;R;Action/Adventure;06-26-2007
203017;Futurama: Complete Collection (Bender Head);Fox;199.98;NR;Animation;07-06-2010
195747;Rain Man (Blu-ray);MGM/UA;19.99;R;Drama;02-15-2011
219047;There Be Dragons (Blu-ray);Fox;14.99;PG-13;War;01-10-2012
135859;Batman Begins (Widescreen/ Limited Edition Gift Set);Warner Brothers;39.92;PG-13;Action/Adventure;07-08-2008
50798;New York, New York (Special Edition);MGM/UA;14.98;PG;Musical;02-08-2005
177953;Clint Eastwood Collection (Blu-ray): Absolute Power / Dirty Harry / Gran Torino / Kelly's Heroes / Letters From Iwo Jima / ...;Warner Brothers;129.95;VAR;VAR;06-01-2010
259430;X-Men: First Class (En Espanol);Fox;14.98;PG-13;SciFi;03-25-2014
32228;Star Trek (1966) #22: Bread And Circuses / Journey To Babel (Checkpoint);Paramount;19.99;NR;TV Classics;04-24-2001
178201;Rookie (1990/ Blu-ray);Warner Brothers;19.98;R;Action/Adventure;06-01-2010
262326;Transformers: Dark Of The Moon (Blu-ray w/ Movie Cash);DreamWorks;22.99;PG-13;Action/Adventure;06-03-2014
57740;Courage Under Fire (Special Edition/ SensorMatic);Fox;9.98;R;Action/Adventure;12-26-2000
173577;Boondock Saints II: All Saints (Blu-ray/ Old Version);Sony Pictures;19.99;R;Action/Adventure;03-09-2010
254040;Angry Birds Toons: Season 1, Vol. 1 (Blu-ray);Sony Pictures;26.99;NR;Animation;12-03-2013
188183;Munsters' Scary Little Christmas (DVD/CD Combo);Universal;14.98;NR;Family;10-12-2010
206257;Mamma Mia! (2008/ Widescreen/ DVD & Blu-ray Combo w/ Digital Copy);Universal;14.98;PG-13;Comedy;06-28-2011
115968;Shark (2006): Season 1;Fox;39.98;NR;TV Classics;10-02-2007
169789;Shorts (Blu-ray/ DVD & Blu-ray Combo);Warner Brothers;14.98;PG;Family;11-24-2009
169690;Wonder Woman (1975): The Complete 2nd Season (Rental Ready);Warner Brothers;39.98;NR;TV Classics;03-01-2005
5673;Star Trek (1966) #02: Mudd's Women / The Enemy Within;Paramount;19.99;NR;TV Classics;08-17-1999
261370;Life As We Know It (2010);Warner Brothers;5.97;PG-13;Comedy;04-15-2014
11424;Caveman's Valentine;Universal;14.98;R;Mystery/Suspense;07-17-2001
116396;Amityville Collection: Amityville: A New Generation / Amityville Dollhouse / Amityville: It's About Time;Lions Gate;29.98;R;Horror;10-16-2007
61055;NBA: Hardwood Classics: Hakeem Olajuwan: Hakeem The Dream;Warner Brothers;12.98;NR;Sports;05-17-2005
49928;Happy Days (1974): The Complete 1st Season (Checkpoint);Paramount;22.99;NR;TV Classics;08-17-2004
206720;To Walk With Lions (Lions Gate);Lions Gate;14.98;PG-13;Drama;08-02-2011
26540;Charlotte's Web 2: Wilbur's Great Adventure (Paramount);Paramount;12.99;NR;Animation;03-18-2003
192841;Batman: The Brave And The Bold: Season 1, Part 2;Warner Brothers;19.97;NR;Animation;03-15-2011
261996;You, Me And Dupree (Widescreen/ Blu-ray w/ Digital Copy);Universal;19.98;PG-13;Comedy;06-03-2014
131795;Big Trail (Fox Grandeur Special Edition/ 2-Disc);Fox;19.98;NR;Western;05-13-2008
196680;Western Movie Marathon: Into The Badlands / Dead Man's Revenge;Universal;14.98;VAR;Western;03-29-2011
117170;Stanley Kubrick Collection: Lolita (1962) / Dr. Strangelove / 2001: A Space Odyssey / A Clockwork Orange / ...;Warner Brothers;79.92;VAR;VAR;10-23-2007
195860;Venture Bros.: Season 4 (Blu-ray);Warner Brothers;39.99;NR;Animation;03-22-2011
52645;Fall Of The House Of Usher (1960) / Pit And The Pendulum (Midnite Movies Double Feature);MGM/UA;9.98;NR;Horror;08-24-2004
228745;Shrek's Spooky Stories (Blu-ray/ Checkpoint);DreamWorks Animated;26.99;NR;Animation;08-28-2012
56842;Clear And Present Danger (Special Edition/ Old Version/ 1998 Release/ Checkpoint);Paramount;19.99;PG-13;Action/Adventure;10-20-1998
240665;King David (Paramount/ I Love The 80's/ Checkpoint);Paramount;14.99;PG-13;Drama;08-05-2008
237075;Hats Off To Dr. Seuss (Collector's Edition/ Blu-ray): Cat In The Hat / The Lorax / Horton Hears A Who! / Green Eggs ... / ...;Warner Brothers;59.99;NR;Animation;02-19-2013
77607;Day After Tomorrow (Widescreen/ UMD);Fox;19.98;PG-13;SciFi;01-03-2006
264810;Louie: The Complete 3rd Season (On Demand DVD-R);Fox;29.95;NR;TV Classics;05-13-2014
216141;Hoosiers (MGM/UA);MGM/UA;14.98;PG;Drama;09-27-2011
82267;Beavis And Butt-Head: The Mike Judge Collection, Vol. 2 (Checkpoint);Paramount;38.99;NR;Animation;06-06-2006
232694;Kung Fu Panda Holiday (DVD & Blu-ray Combo);DreamWorks;20.99;NR;Animation;10-30-2012
61545;Little Bear: Little Bear's Band (Checkpoint);Paramount;16.99;G;Animation;06-07-2005
249257;TCM Greatest Classic Films Legends: Gary Cooper: Love In The Afternoon / Sergeant York / The Fountainhead / Friendly Persuasion;Warner Brothers;27.92;NR;Drama;10-15-2013
16723;Charge Of The Light Brigade (1968);MGM/UA;14.98;PG-13;War;05-07-2002
203045;Usual Suspects (MGM/UA/ Blu-ray/ Limited Edition);MGM/UA;34.99;R;Mystery/Suspense;05-10-2011
240614;Shrek Forever After / Donkey's Christmas Shrektacular (Back-To-Back/ Checkpoint);DreamWorks;24.99;PG;Animation;12-07-2010
75240;Nutty Professor (1996/ Dolby Digital) / Nutty Professor II: The Klumps (Special Edition);Universal;14.98;PG-13;Comedy;02-07-2006
70973;Oblongs: The Complete Series;Warner Brothers;29.98;NR;TV Classics;10-04-2005
220929;Sherlock Holmes (2009/ Blu-ray w/ Digital Copy & 'Wrath Of The Titans' Movie Cash);Warner Brothers;14.98;PG-13;Action/Adventure;02-28-2012
163380;Random Hearts (Sony Pictures) / Air Force One;Sony Pictures;23.95;R;VAR;09-22-2009
5641;Spy Who Loved Me (Special Edition/ Old Version);MGM/UA;19.98;PG;Action/Adventure;05-16-2000
60341;Waltons: The Complete 1st & 2nd Seasons (Old Version);Warner Brothers;55.82;NR;TV Classics;04-26-2005
28436;Life Of David Gale (Pan & Scan/ Special Edition);Universal;9.99;R;Mystery/Suspense;07-22-2003
90657;Fight Club (1-Disc Special Edition);Fox;19.98;R;Drama;10-17-2006
206989;Ghost Town (1956/ Limited Edition Collection/ On Demand DVD-R);MGM/UA;19.98;NR;Western;05-02-2011
191678;Nanny McPhee Returns;Universal;14.98;PG;Family;12-14-2010
84189;Cheaper By The Dozen (2003/ Baker's Dozen Edition) / Cheaper By The Dozen 2 (2-Pack);Fox;24.98;PG;Comedy;05-23-2006
55005;Surviving Christmas (DreamWorks);DreamWorks;14.99;PG-13;Comedy;12-21-2004
61788;Frasier: The Complete 1st - 5th & Final Seasons (Checkpoint);Paramount;209.99;NR;TV Classics;06-07-2005
101759;Departed (Widescreen/ Old Version);Warner Brothers;5.97;R;Drama;02-13-2007
197427;Mao's Last Dancer (Blu-ray/ Rental Ready);Fox;29.99;PG;Drama;05-06-2011
137243;Starship Troopers 3: Marauder (UMD);Columbia/Tri-Star;14.99;R;SciFi;08-05-2008
2882;Hudson Hawk;Columbia/Tri-Star;9.99;R;Action/Comedy;03-06-2001
187516;Babies (2010/ Blu-ray);Universal;14.98;PG;Documentary;09-28-2010
6324;Underneath;Universal;5.98;R;Mystery/Suspense;11-17-1998
129032;Jillian Michaels: 30 Day Shred;Lions Gate;14.98;NR;Exercise;03-18-2008
48212;North By Northwest (Warner Brothers/ Special Edition) / Dial M For Murder (Back-To-Back);Warner Brothers;29.9;NR;Mystery/Suspense;01-18-2005
132778;All The Right Moves / Lucas (Double Feature);Fox;14.98;VAR;Drama;06-10-2008
10809;QB VII;Columbia/Tri-Star;14.99;NR;Drama;05-29-2001
43012;Deanna Durbin Sweetheart Pack: Three Smart Girls / 100 Men And A Girl / First Love / It Started With Eve / Can't Help ... / ...;Universal;26.98;NR;VAR;08-03-2004
26016;Quest For Fire (Special Edition);Fox;9.98;R;SciFi;03-04-2003
147841;Witness (1985/ Paramount/ Special Collector's Edition);Paramount;14.99;R;Thriller;01-20-2009
112530;It Happened At The World's Fair;Warner Brothers;12.97;NR;Musical;08-07-2007
185501;Full House (1987): The Complete 6th Season (Rental Ready);Warner Brothers;29.98;NR;TV Classics;03-27-2007
168376;Terminator Salvation (Warner Brothers/ Widescreen/ Old Version);Warner Brothers;5.97;PG-13;SciFi;12-01-2009
61302;Buffy The Vampire Slayer (1997): The Complete 4th Season (Special Edition/ Old Version/ Version Francaise);Fox;59.98;NR;TV Classics;06-10-2003
107163;Mission: Impossible (1996/ Blu-ray/ Old Version);Paramount;22.99;PG-13;Action/Adventure;05-22-2007
9708;Lost In America;Warner Brothers;19.98;R;Comedy;04-03-2001
158316;Family Stone (Widescreen/ Special Edition/ Canadian);Fox;14.98;PG-13;Comedy;04-07-2009
240595;Cheech & Chong: Greatest Hits (2-Pack): Cheech & Chong's Up In Smoke / Cheech & Chong Still Smokin (Checkpoint);Paramount;14.99;R;Comedy;08-09-2005
2060;Exorcist (Warner Brothers/ Special Edition);Warner Brothers;24.98;R;Horror;12-01-1998
33143;Real Schlemiel;Columbia/Tri-Star;9.95;G;Animation;11-04-2003
266650;Person Of Interest (2011): The Complete 3rd Season;Warner Brothers;59.98;NR;TV Classics;09-02-2014
146150;Coach Carter (Paramount/ Widescreen/ Blu-ray/ Old Version);Paramount;29.99;PG-13;Drama;12-16-2008
24491;Paper Soldiers;Universal;14.98;R;Action/Adventure;03-18-2003
57391;Bridget Jones: The Edge Of Reason (PG-13 Version/ Pan & Scan);Universal;29.98;PG-13;Comedy;03-22-2005
129778;Rails & Ties;Warner Brothers;19.97;PG-13;Drama;06-17-2008
50240;Superman: The Animated Series, Vol. 1;Warner Brothers;26.99;NR;Animation;01-25-2005
71271;Mighty Joe Young (1949);Warner Brothers;19.97;NR;Action/Adventure;11-22-2005
62770;Bette Davis Collection, Vol. 1: Mr. Skeffington / Dark Victory / The Letter / The Star / Now, Voyager (Old Version);Warner Brothers;49.92;NR;Drama;06-14-2005
159797;Transporter (Blu-ray) / Transporter 2 (Widescreen/ Blu-ray) (Side-By-Side);Fox;34.98;PG-13;Action/Adventure;05-24-2009
56090;Just For You / Here Comes The Groom (Checkpoint);Paramount;14.99;NR;Comedy;06-29-2004
26554;Man And A Woman;Warner Brothers;19.98;NR;Foreign;03-18-2003
232159;Jarhead (Widescreen/ Blu-ray) / The Kingdom (2007/ Widescreen/ Blu-ray) / Green Zone (Blu-ray);Universal;19.98;R;VAR;10-09-2012
21730;X-Files: The Complete 6th Season (Old Version);Fox;99.98;NR;TV Classics;11-05-2002
147873;Balls Out: Gary The Tennis Coach;Sony Pictures;9.99;R;Comedy;01-13-2009
186033;Saw I - IV (Amazon Exclusive): Saw (Widescreen/ Special Edition/ Uncut) / Saw II / Saw III / Saw IV;Lions Gate;69.98;NR;Horror;09-17-2008
56037;Little Big Man (Checkpoint);Paramount;19.99;PG-13;Western;04-29-2003
142243;Standard Operating Procedure;Sony Pictures;14.99;R;Documentary;10-14-2008
215993;Iron Sheriff (Limited Edition Collection/ On Demand DVD-R);MGM/UA;19.98;NR;Western;07-25-2011
140137;Charmed: The Complete 1st - 8th Seasons: The Complete Series Pack;Paramount;189.98;NR;TV Classics;11-18-2008
48331;Garfield: The Movie (Fox/ Pan & Scan/ Widescreen);Fox;14.98;PG;Comedy;10-19-2004
99579;Heiress;Universal;14.98;NR;Drama;02-06-2007
32311;Star Trek (1966) #07: The Galileo Seven / Court Martial (SensorMatic);Paramount;19.99;NR;TV Classics;02-22-2000
